title,price,sell_date,no_views,no_watchers,no_comments,no_bids,seller_state,year,series,miles,engine,trans,exterior,interior,misc,url
1988 Toyota Land Cruiser FJ62,"33,500",12/28/2021,"9,901",679,32,37,"albuquerque, new mexico 87111",1988,fj62,156k,4.0-liter inline-six,automatic,beige metallic paint,beige cloth upholstery,"['chassis: jt3fj62g8j0075345', '156k miles shown', '4.0-liter inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'beige metallic paint', 'beige cloth upholstery', 'black 16"" steel wheels', 'manually locking front hubs', 'old man emu suspension components', 'alpine infotainment w/kicker audio', 'subwoofer', '100w driving lights', 'roof rack', 'damage-free carfax report']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-85/
No Reserve: 27-Years-Owned 1987 Toyota Land Cruiser FJ60,"16,500",12/21/2021,"11,190",770,27,35,"fountain hills, arizona 85268",1987,fj60,300k,4.2-liter inline-six,manual,refinished in beige,black & white cloth upholstery,"['chassis: jt3fj60g1h1139488', '300k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'dual-range transfer case', 'refinished in beige', 'black & white cloth upholstery', '15"" alloy wheels', 'front locking hubs', 'power steering', 'air conditioning', 'kenwood cd stereo', ""owner's manual"", 'clean carfax report']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-95/
5.3L-Powered 1989 Toyota Land Cruiser FJ62,"54,000",12/20/2021,"12,450",778,80,49,"chandler, arizona 85286",1989,fj62,8k,5.3-liter l83 v8,automatic,metallic beige paint,beige cloth upholstery,"['chassis: jt3fj62gxk1113086', '8k miles shown, tmu', '5.3-liter l83 v8', 'six-speed automatic transmission', 'dual-range transfer case', 'locking rear differential', 'metallic beige paint', 'beige cloth upholstery', '17"" black rhino wheels', 'old man emu suspension lift', 'front bull bar', '4x4labs rear bumper', 'safari snorkels intake', 'led lighting', 'air conditioning', 'pioneer touchscreen head unit', 'drone x1 smartphone-enabled alarm', 'long range america fuel tank', 'build records and dyno results', 'accident-free carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-111/
1988 Toyota Land Cruiser FJ62,"46,750",12/20/2021,"12,669",871,46,62,"hot springs national park, arkansas 71901",1988,fj62,266k,4.0l 3f-e inline-six,automatic,metallic gray paint,gray cloth upholstery,"['chassis: jt3fj62g2j0090004', '266k miles shown', '4.0l 3f-e inline-six', '4-speed automatic transmission', 'dual-range transfer case', 'metallic gray paint', 'gray cloth upholstery', 'arb front bumper w/ warn winch', 'viper rear bumper', '2.5"" old man emu lift kit', '15"" american racing wheels w/ 33"" tires', 'manually-locking front hubs', 'arb roof rack', 'safari snorkel', 'air conditioning', 'bluetooth-capable pioneer touchscreen stereo', ""owner's manual"", 'carfax report']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-36/
1982 Toyota Land Cruiser FJ60,"33,250",12/17/2021,"12,135",772,46,24,"hudson, new hampshire 03051",1982,fj60,189k,4.2-liter inline-six,manual,white paint,tan & brown interior,"['chassis: jt3fj60gxc0045687', '189k miles shown', '4.2-liter inline-six', 'four-speed manual gearbox', 'dual-range transfer case', 'white paint', 'tan & brown interior', 'hella auxiliary lights', '15"" chrome wheels w/33"" tires', 'am/fm radio', 'aftermarket center console', 'clean carfax report']",https://bringatrailer.com/listing/1982-toyota-land-cruiser-fj60-9/
1989 Toyota Land Cruiser FJ62,"60,000",12/15/2021,"13,186",694,94,37,"stevenson ranch, california 91381",1989,fj62,158k,4.0-liter inline-six,automatic,white paint,gray cloth upholstery,"['chassis: jt3fj62g9k1105819', '158k miles shown', '4.0-liter inline-six', '4-speed automatic transmission', 'dual-range transfer case', 'white paint', 'gray cloth upholstery', 'chrome 15"" wheels', 'manually-locking front hubs', 'power windows & locks', 'air conditioning', 'bluetooth-capable jvc cd stereo w/ aux-in', 'transfer case reseal & vc gasket in 2021', 'accident-free carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-113/
Vortec-Powered 1984 Toyota Land Cruiser FJ60,"24,750",12/13/2021,"8,154",460,27,25,"lake saint louis, missouri 63367",1984,fj60,204k,5.7-liter vortec v8,manual,desert tan w/ camouflage wrap,tan cloth upholstery,"['chassis: jt3fj60g7e0083168', '204k miles shown', '5.7-liter vortec v8', 'five-speed manual transmission', 'dual-range transfer case', 'desert tan w/ camouflage wrap', 'tan cloth upholstery', 'arb front bumper w/ warn winch', '17"" aluminum wheels w/ 35"" tires', 'afco racing shocks w/ remote reservoirs', 'four-link suspension ', 'rock sliders', 'gm axles', 'front eaton e-locker', 'custom sound system ', 'hid and led lighting', 'service & modification records', 'accident-free carfax report']",https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-67/
1987 Toyota Land Cruiser FJ60,"23,500",12/9/2021,"7,901",539,8,12,"safety harbor, florida 34695",1987,fj60,188k,4.2-liter inline-six,manual,beige metallic paint,gray cloth and vinyl upholstery,"['chassis: jt3fj60g0h1139904', '188k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'dual-range transfer case', 'beige metallic paint', 'gray cloth and vinyl upholstery', '15"" polished wheels', 'suspension lift', 'con-ferr-style roof rack', 'split tailgate', 'air conditioning', 'kenwood stereo', 'clean carfax report']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-93/
1989 Toyota Land Cruiser FJ62,"41,500",12/7/2021,"11,275",746,39,49,"pisgah forest, north carolina 28768",1989,fj62,109k,4.0-liter 3f-e inline-six,automatic,gray paint,gray cloth & vinyl upholstery,"['chassis: jt3fj62g7k1109724', '109k miles shown', '4.0-liter 3f-e inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'gray paint', 'gray cloth & vinyl upholstery', 'platform roof rack', 'manually-locking front hubs', '15"" chrome-finished wheels', '2"" suspension lift', 'air conditioning', 'kenwood am/fm cd stereo', 'clean carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-106/
No Reserve: 1989 Toyota Land Cruiser FJ62,"12,000",12/6/2021,"13,827",825,23,21,"lynchburg, virginia 24503",1989,fj62,139k,4.0-liter inline six,automatic,gray metallic paint,gray cloth upholstery,"['chassis: jt3fj62g4k1105808', '139k miles shown', '4.0-liter inline six', 'four-speed automatic transmission ', 'dual-range transfer case', 'gray metallic paint', 'gray cloth upholstery', 'chrome 15"" steel wheels', 'old man emu suspension lift', 'flat roof rack', 'receiver hitch', 'tool kit', 'service records', 'clean carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-110/
23-Years-Owned 1985 Toyota Land Cruiser FJ60,"37,500",12/5/2021,"13,211",665,28,32,"nesconset, new york 11767",1985,fj60,163k,4.2-liter inline-six,manual,blue-gray paint,gray vinyl & striped cloth upholstery,"['chassis: jt3fj60gxf1131810', '163k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'dual-range transfer case', 'blue-gray paint', 'gray vinyl & striped cloth upholstery', 'chrome 15"" wheels w/31"" tires', 'old man emu suspension', 'manually locking front hubs', 'air conditioning', 'heater under rear bench', 'clean carfax report']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-99/
1984 Toyota Land Cruiser FJ60,"16,000",12/1/2021,"8,543",525,41,11,"oregon city, oregon 97045",1984,fj60,183k,4.2-liter inline-six,manual,red exterior,brown vinyl & tan cloth upholstery,"['chassis: jt3fj60g5e1116405', '183k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'dual-range transfer case', 'red exterior', 'brown vinyl & tan cloth upholstery', 'chrome-finished 15"" wheels', 'manually locking front hubs', 'air conditioning', 'am/fm radio']",https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-66/
1988 Toyota Land Cruiser FJ62,"45,000",11/30/2021,"14,372",921,12,53,"ojai, california 93023",1988,fj62,127k,4.0-liter inline-six,automatic,beige paint,beige cloth & vinyl upholstery,"['chassis: jt3fj62g3j0082123', '127k miles shown', '4.0-liter inline-six', 'four-speed automatic transmisison', 'dual range transfer case', 'beige paint', 'beige cloth & vinyl upholstery', '15"" chrome-finished wheels', 'old man emu steering damper & shocks', 'warn manually-locking front hubs', 'air conditioning', 'rear heater', 'am/fm radio', 'power windows & locks', 'clean carfax report']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-80/
1987 Toyota Land Cruiser FJ60,"36,050",11/22/2021,"11,184",703,41,42,"carmel, indiana 46032",1987,fj60,182k,4.2-liter inline-six,manual,silver metallic paint,gray cloth & vinyl upholstery,"['chassis: jt3fj60g9h1136998', '182k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'dual-range transfer case', 'silver metallic paint', 'gray cloth & vinyl upholstery', 'steel 15"" fj40 wheels', 'air conditioning', 'alpine bluetooth radio', 'smittybilt front bumper w/winch', 'rlcweldfab rear bumper', 'old man emu 2"" lift kit', 'steering stabilizer', 'clean carfax report']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-92/
No Reserve: 1985 Toyota Land Cruiser FJ60,"32,250",11/21/2021,"12,307",843,48,33,"mesa, arizona 85215",1985,fj60,92k,4.2-liter inline-six,manual,red paint,gray vinyl & cloth upholstery,"['chassis: jt3fj60g5f1128717', '92k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'red paint', 'gray vinyl & cloth upholstery', 'old man emu suspension lift', 'headlight washers', 'fog lamps', 'general grabber mud-terrain tires', 'clean carfax report']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-98/
1984 Toyota Land Cruiser FJ60,"48,550",11/20/2021,"9,051",594,35,40,"woodstock, georgia 30189",1984,fj60,99k,4.2-liter inline-six,manual,beige paint,brown cloth & vinyl upholstery,"['chassis: jt3fj60g8e1115846', '99k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'dual-range transfer case', 'beige paint', 'brown cloth & vinyl upholstery', 'arb front bumper & lighting', 'rock sliders', 'winch and warn fairlead', 'old man emu suspension lift & shocks', 'black-finished 17"" wheels', 'receiver hitch', 'air conditioning', 'am/fm radio', 'window sticker & records', 'removed parts', 'clean carfax report']",https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-61/
1989 Toyota Land Cruiser FJ62,"46,500",11/19/2021,"8,722",586,38,34,"brandon, mississippi 39042",1989,fj62,156k,4.0-liter inline-six,automatic,gray metallic paint,gray cloth upholstery,"['chassis: jt3fj62g9k1109630', '156k miles shown', '4.0-liter inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'gray metallic paint', 'gray cloth upholstery', '15"" chrome wheels', 'receiver hitch', 'air conditioning', 'pioneer head unit', 'tool kit', 'service records', 'clean carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-23/
1986 Toyota Land Cruiser FJ60,"29,500",11/15/2021,"7,942",560,27,20,"wellington, nevada 89444",1986,fj60,221k,4.2-liter inline-six,manual,beige metallic paint,brown vinyl & tan cloth upholstery,"['chassis: jt3fj60gog1133292', '221k miles shown', 'tlc overhaul in 2007', '4.2-liter inline-six', 'five-speed manual transmission', 'dual-range transfer case', 'beige metallic paint', 'brown vinyl & tan cloth upholstery', 'manually locking front hubs', 'air conditioning', 'alpine cd stereo', 'old man emu suspension kit', 'arb bull bar ', 'clear bra', 'warn 8000-series winch', 'kaymar rear bumper w/ tire carrier & work light', 'black 16″ steel wheels', 'long-range fuel tank ', 'hella h4 headlights', 'piaa fog lights', 'downey performance header  ', 'tool kit, jack & spare parts', 'service records', ""manufacturer's literature"", 'repair & instruction manuals ', 'clean carfax report']",https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-41/
1989 Toyota Land Cruiser FJ62,"45,317",11/14/2021,"16,569",855,60,34,"rogers, arkansas 72758",1989,fj62,118k,4.0-liter inline-six,automatic,two-tone metallic beige & gray paint,gray cloth upholstery ,"['chassis: jt3fj62g0k1114716', '118k miles shown', '4.0-liter inline-six', 'four-speed automatic transmission', 'two-tone metallic beige & gray paint', 'gray cloth upholstery ', 'air conditioning', 'chrome 15"" steel wheels', 'factory cassette stereo', 'power windows, mirrors, and locks ', 'mud flaps', 'aisin manually locking front hubs', 'original invoice & purchase documents', ""manufacturer's literature"", 'clean carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-24/
No Reserve: V8-Powered 1987 Toyota Land Cruiser FJ60 5-Speed,"32,109",11/14/2021,"12,216",832,35,35,"cheyenne, wyoming 82001",1987,fj60,146k,gm 5.7-liter v8,manual,red paint,black & gray vinyl upholstery ,"['chassis: jt3fj60g7h1136305', '146k miles shown, tmu', 'gm 5.7-liter v8', '5-speed manual transmission', 'dual-range transfer case', 'red paint', 'black & gray vinyl upholstery ', 'holley sniper efi', 'old man emu lift kit', 'led headlights', 'aftermarket 17"" wheels', 'side steps', 'swing-out tire carrier', 'tinted windows', 'bajarack roof rack', 'thule bike rack', 'air conditioning', 'bluetooth-capable stereo', 'service records', 'clean carfax report']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-90/
1987 Toyota Land Cruiser FJ60,"42,500",11/13/2021,"17,963","1,013",63,43,"mesa, arizona 85201",1987,fj60,144k,4.2-liter inline-six,manual,tan paint w/multicolor graphics,tan & brown upholstery,"['chassis: jt3fj60g1h1139457', '144k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'dual-range transfer case', 'tan paint w/multicolor graphics', 'tan & brown upholstery', '15"" raceline wheels', 'old man emu lift kit', '4plusproducts bumper w/warn winch', 'land cruiser restorations roof rack', 'air conditioning', 'kenwood head unit', ""owner's manual & tool roll"", 'carfax report']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-89/
1989 Toyota Land Cruiser FJ62,"31,000",11/12/2021,"7,647",606,14,37,"raleigh, north carolina 27607",1989,fj62,176k,4.0-liter 3f-e inline-six,automatic,brown and beige paint,beige cloth and brown vinyl upholstery,"['chassis: jt3fj62g4k1114878', '176k miles shown', '4.0-liter 3f-e inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'brown and beige paint', 'beige cloth and brown vinyl upholstery', 'chrome 15"" steel wheels', 'chrome bumpers', 'air conditioning', 'rear heater', 'power accessories', 'alpine stereo', 'carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-79/
1989 Toyota Land Cruiser FJ62,"35,850",11/7/2021,"13,469",924,21,39,"san antonio, texas 78209",1989,fj62,89k,4.0-liter 3f-e inline-six,automatic,repainted blue,gray cloth & vinyl upholstery,"['chassis: jt3fj62g0k1104316', '89k miles shown, tmu', '4.0-liter 3f-e inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'repainted blue', 'gray cloth & vinyl upholstery', '15"" chrome-finished wheels', 'aisin manually-locking front hubs', 'old man emu suspension lift', 'air conditioning', 'rear heater', 'am/fm cassette stereo', 'accident-free carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-108/
5.7L Vortec-Powered 1985 Toyota Land Cruiser FJ60,"24,250",11/7/2021,"7,598",558,27,11,"fort payne, alabama",1985,fj60,197k,replacement 5.7-liter v8,automatic,bronze paint,beige cloth upholstery,"['chassis: jt3fj60g1f1127855', '197k miles shown', 'replacement 5.7-liter v8', '4-speed automatic transmission', 'dual-range transfer case', 'bronze paint', 'beige cloth upholstery', 'arb front bumper', 'old man emu suspension', 'manually-locking front hubs', 'bluetooth-capable stereo', 'air conditioning', 'accident-free carfax report']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-88/
1985 Toyota Land Cruiser FJ60,"38,750",11/5/2021,"11,208",694,27,27,"plano, texas 75024",1985,fj60,161k,4.2-liter inline-six,manual,beige paint,brown vinyl & tan cloth upholstery,"['chassis: jt3fj60g5f1129186', '161k miles shown', '4.2-liter inline-six', '4-speed manual transmission', 'dual-range transfer case', 'beige paint', 'brown vinyl & tan cloth upholstery', 'holley sniper electronic fuel injection', 'jt outfitters exhaust headers', 'chrome-finished 15"" wheels', 'manually-locking front hubs', 'air conditioning', 'cool cruisers center console', 'aftermarket pioneer cd stereo', 'fuel, ignition & cooling system services in 2021', ""manufacturer's literature"", 'clean carfax report']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-96/
